ID,AÑO,MES,DIA MES,DIA SEMANA,EDAD,SEXO,ESTADO CIVIL,CIUDAD,PAIS,HORA,MUNICIPIOH,DEPARTAMENTOHECHO,BARRIOHECHO,DIRECCION ,ÁREA HECHO,CONDICION VICTIMA,VEHICULO1,SERVICIO,CLASE ACCIDENTE,Dir_Concatenada,localizacion,punto,lat,long,alt
2058,2007,12,8,7,81,M,CASADO (A),CALI,COLOMBIA,12.0,SANTIAGO DE CALI,VALLE DEL CAUCA,CIUDAD JARDIN,CALLE 18  CARRERA 114,Urbano,PEATON,,,ATROPELLO,"CALLE 18  CARRERA 114, Cali, Valle del Cauca","Parada MIO - Calle 18 entre Carrera 114 y 114B, Calle 18, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, 720001, Colombia","(3.3553578, -76.5304086, 0.0)",3.3553578,-76.5304086,0.0
1648,2009,11,28,7,65,M,SOLTERO (A),CALI,COLOMBIA,6.0,SANTIAGO DE CALI,VALLE DEL CAUCA,SIN DATO,CALLE 18  ENTRE CRAS 146 Y 148,Urbano,CONDUCTOR,BICICLETA,PARTICULAR,CHOQUE CON OTRO VEHICULO,"CALLE 18  ENTRE CRAS 146 Y 148, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1917,2012,9,7,6,63,M,UNION LIBRE,CALI,COLOMBIA,18.0,SANTIAGO DE CALI,VALLE DEL CAUCA,CENTRO,CALLE 18  NO. 12-52,Urbano,PEATÓN,NO APLICA,SIN INFORMACIÓN,ATROPELLO,"CALLE 18  NO. 12-52, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1441,2013,8,26,2,66,M,SIN INFORMACION,CALI,COLOMBIA,18.0,SANTIAGO DE CALI,VALLE DEL CAUCA,SIN INFORMACIÓN,CALLE 18 CON CARRERA 28,Urbano,PEATÓN,NO APLICA,SIN INFORMACIÓN,ATROPELLO,"CALLE 18 CON CARRERA 28, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1674,2010,1,31,1,27,M,SIN INFORMACION,CALI,COLOMBIA,19.0,SANTIAGO DE CALI,VALLE DEL CAUCA,ND,CALLE 18 CON CRA 118,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHICULO,"CALLE 18 CON CRA 118, Cali, Valle del Cauca","Parada MIO - Calle 18 con Carrera 141, Calle 18, Pance, Cali, Sur, Valle del Cauca, 720001, Colombia","(3.3218545, -76.5350497, 0.0)",3.3218545,-76.5350497,0.0
859,2009,12,17,5,58,F,CASADO (A),CALI,COLOMBIA,13.0,SANTIAGO DE CALI,VALLE DEL CAUCA,ND,CALLE 18 CON CRA 159,Urbano,PASAJERO,NS/NR - SIN INFORMACION,SIN INFORMACION,VOLCAMIENTO,"CALLE 18 CON CRA 159, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1316,2013,3,3,1,48,M,SIN INFORMACION,CALI,COLOMBIA,14.0,SANTIAGO DE CALI,VALLE DEL CAUCA,SIN INFORMACIÓN,CALLE 18 CON CRA 56,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,VOLCAMIENTO,"CALLE 18 CON CRA 56, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1492,2013,11,3,1,31,M,UNION LIBRE,CALI,COLOMBIA,0.0,SANTIAGO DE CALI,VALLE DEL CAUCA,PANCE,CALLE 18 CRA 180 FRENTE A LA ESCUELA DE EQUITACIÓN.,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHÍCULO,"CALLE 18 CRA 180 FRENTE A LA ESCUELA DE EQUITACIÓN., Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
680,2009,2,7,7,16,M,SOLTERO (A),CALI,COLOMBIA,21.0,SANTIAGO DE CALI,VALLE DEL CAUCA,ND,CALLE 18 CRA 33,Urbano,PASAJERO,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHICULO,"CALLE 18 CRA 33, Cali, Valle del Cauca","Calle 18, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, 720001, Colombia","(3.3411552, -76.5310459, 0.0)",3.3411552,-76.5310459,0.0
1193,2011,1,27,5,36,F,CASADO (A),CALI,COLOMBIA,14.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,CALLE 18 ENTRE CARRERAS 115-Y 116,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,VOLCAMIENTO,"CALLE 18 ENTRE CARRERAS 115-Y 116, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
899,2010,2,26,6,20,F,SOLTERO (A),CALI,COLOMBIA,22.0,SANTIAGO DE CALI,VALLE DEL CAUCA,ND,CALLE 18 ENTRE CARRERAS 169 Y170,Urbano,CONDUCTOR,NO APLICA,SIN INFORMACION,CHOQUE CON OBJETO FIJO O EN MOVIMIENTO,"CALLE 18 ENTRE CARRERAS 169 Y170, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
363,2007,9,16,1,38,M,SIN INFORMACION,CALI,COLOMBIA,19.0,SANTIAGO DE CALI,VALLE DEL CAUCA,CIUDAD JARDIN,CALLE 18 ENTRE CRAS 106A Y 107,Urbano,CONDUCTOR,BICICLETA,PARTICULAR,CHOQUE CON OTRO VEHICULO,"CALLE 18 ENTRE CRAS 106A Y 107, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
